"1","3","43|61|1","43|61|1","10/11/2021 20:41:58"
"2","5","131|25|248|165|251","131|25","24/01/2022 13:17:24"
"3","23","120|13|131","13|131","26/03/2020 21:59:19"
"4","24","228|129|91|96|131","228|91","04/01/2021 06:17:20"
"5","3","154|185|267|49|73|212","49|212","25/01/2021 04:51:40"
"6","2","29|83|20|296|148","83|20","03/04/2022 14:48:18"
"7","22","103|182|153|151","103","03/11/2021 06:25:10"
"8","19","224|49|215","215","24/10/2021 19:03:15"
"9","10","161|192|39|20","161|39","30/01/2022 16:39:19"
"10","17","113|145|287|200|38","113|145|287|200|38","31/08/2022 05:42:49"
"11","25","62|239|162|269|232","62|239","22/04/2020 02:07:10"
"12","16","20|119|84|123","20|84|123","10/11/2021 20:41:58"
"13","19","126|164|113|293|67","164|67","24/01/2022 13:17:24"
"14","13","39|142|120|105|241","39|120|241","26/03/2020 21:59:19"
"15","2","132|134|14|238|149","134|238|149","04/01/2021 06:17:20"
"16","7","113|224|267|140","140","25/01/2021 04:51:40"
"17","23","264|179|36|143|50|28","264|179|36|143|28","03/04/2022 14:48:18"
"18","6","80|160|75|280|164","80|75|164","03/11/2021 06:25:10"
"19","22","300|50|288|12|40|161","288|12|40","24/10/2021 19:03:15"
"20","25","107|284|27|211|276","27","30/01/2022 16:39:19"
"21","10","43|248|287|195|258|46","43|248|287|258|46","31/08/2022 05:42:49"
"22","8","114|32|225|89","225","22/04/2020 02:07:10"
"23","17","213|299|8","213|8","10/11/2021 20:41:58"
"24","24","105|212|209|142|280|172","142|280","24/01/2022 13:17:24"
"25","3","118|80|47|153|113","113","26/03/2020 21:59:19"
"26","5","225|45|237|245|220|238","45|245|220|238","04/01/2021 06:17:20"
"27","21","3|272|159|5|155|279","3|5","25/01/2021 04:51:40"
"28","27","166|73|117|256","","03/04/2022 14:48:18"
"29","21","123|111|284|4","111|284|4","03/11/2021 06:25:10"
"30","14","31|169|211|215|262|107","169|215|262|107","24/10/2021 19:03:15"
"31","22","271|8|157|46|185","157|46","30/01/2022 16:39:19"
"32","4","90|258|164|4","90|258","31/08/2022 05:42:49"
"33","6","11|4|176|2|228","11|228","22/04/2020 02:07:10"
